step,actic loss,critic loss,average distance,time
3870,-0.2226,0.3282,3.3067,0min0sec
3880,-0.2221,0.3274,3.3057,0min0sec
3890,-0.2215,0.3266,3.3048,0min0sec
3900,-0.2210,0.3259,3.3039,0min0sec
3910,-0.2205,0.3251,3.3030,0min0sec
3920,-0.2200,0.3244,3.3021,0min0sec
3930,-0.2194,0.3237,3.3012,0min0sec
3940,-0.2189,0.3229,3.3003,0min0sec
3950,-0.2184,0.3222,3.2995,0min0sec
3960,-0.2179,0.3215,3.2986,0min0sec
3970,-0.2174,0.3208,3.2977,0min0sec
3980,-0.2168,0.3201,3.2968,0min0sec
3990,-0.2164,0.3194,3.2959,0min0sec
4000,-0.2159,0.3187,3.2951,0min0sec
4010,-0.2154,0.3180,3.2942,0min0sec
4020,-0.2149,0.3173,3.2933,0min0sec
4030,-0.2143,0.3166,3.2925,0min0sec
4040,-0.2139,0.3159,3.2916,0min0sec
4050,-0.2134,0.3152,3.2907,0min0sec
4060,-0.2129,0.3146,3.2899,0min0sec
4070,-0.2123,0.3139,3.2891,0min0sec
4080,-0.2119,0.3132,3.2883,0min0sec
4090,-0.2114,0.3126,3.2875,0min0sec
4100,-0.2109,0.3119,3.2867,0min0sec
4110,-0.2104,0.3112,3.2859,0min0sec
4120,-0.2100,0.3106,3.2851,0min0sec
4130,-0.2095,0.3099,3.2843,0min0sec
4140,-0.2090,0.3092,3.2835,0min0sec
4150,-0.2086,0.3085,3.2827,0min0sec
4160,-0.2081,0.3079,3.2818,0min0sec
4170,-0.2077,0.3072,3.2810,0min0sec
4180,-0.2072,0.3066,3.2802,0min0sec
4190,-0.2068,0.3059,3.2794,0min0sec
4200,-0.2063,0.3052,3.2786,0min0sec
4210,-0.2059,0.3046,3.2779,0min0sec
4220,-0.2054,0.3039,3.2771,0min0sec
4230,-0.2050,0.3033,3.2763,0min0sec
4240,-0.2045,0.3027,3.2755,0min0sec
4250,-0.2041,0.3020,3.2747,0min0sec
4260,-0.2036,0.3014,3.2740,0min0sec
4270,-0.2032,0.3008,3.2732,0min0sec
4280,-0.2028,0.3001,3.2725,0min0sec
4290,-0.2023,0.2995,3.2717,0min0sec
