step,actic loss,critic loss,average distance,time
2790,-0.1615,0.3214,3.1590,0min0sec
2800,-0.1610,0.3204,3.1574,0min0sec
2810,-0.1605,0.3194,3.1558,0min0sec
2820,-0.1600,0.3184,3.1541,0min0sec
2830,-0.1595,0.3174,3.1525,0min0sec
2840,-0.1590,0.3164,3.1509,0min0sec
2850,-0.1585,0.3154,3.1493,0min0sec
2860,-0.1580,0.3144,3.1476,0min0sec
2870,-0.1575,0.3135,3.1461,0min0sec
2880,-0.1571,0.3125,3.1445,0min0sec
2890,-0.1566,0.3116,3.1429,0min0sec
2900,-0.1561,0.3106,3.1414,0min0sec
2910,-0.1556,0.3097,3.1399,0min0sec
2920,-0.1552,0.3087,3.1383,0min0sec
2930,-0.1547,0.3078,3.1368,0min0sec
2940,-0.1542,0.3069,3.1352,0min0sec
2950,-0.1538,0.3059,3.1337,0min0sec
2960,-0.1533,0.3050,3.1322,0min0sec
2970,-0.1529,0.3041,3.1307,0min0sec
2980,-0.1524,0.3032,3.1292,0min0sec
2990,-0.1520,0.3023,3.1277,0min0sec
3000,-0.1516,0.3014,3.1262,0min0sec
3010,-0.1511,0.3006,3.1248,0min0sec
3020,-0.1507,0.2997,3.1233,0min0sec
3030,-0.1502,0.2988,3.1219,0min0sec
3040,-0.1498,0.2979,3.1204,0min0sec
3050,-0.1494,0.2970,3.1190,0min0sec
3060,-0.1489,0.2962,3.1176,0min0sec
3070,-0.1485,0.2953,3.1162,0min0sec
3080,-0.1481,0.2945,3.1148,0min0sec
3090,-0.1477,0.2936,3.1134,0min0sec
3100,-0.1472,0.2928,3.1120,0min0sec
3110,-0.1468,0.2920,3.1107,0min0sec
3120,-0.1464,0.2911,3.1093,0min0sec
3130,-0.1460,0.2903,3.1080,0min0sec
3140,-0.1456,0.2895,3.1066,0min0sec
3150,-0.1452,0.2887,3.1053,0min0sec
3160,-0.1447,0.2879,3.1040,0min0sec
3170,-0.1444,0.2871,3.1027,0min0sec
3180,-0.1440,0.2863,3.1014,0min0sec
3190,-0.1436,0.2855,3.1001,0min0sec
3200,-0.1432,0.2847,3.0988,0min0sec
3210,-0.1428,0.2839,3.0975,0min0sec
3220,-0.1424,0.2831,3.0962,0min0sec
3230,-0.1420,0.2823,3.0949,0min0sec
3240,-0.1416,0.2815,3.0937,0min0sec
3250,-0.1412,0.2808,3.0924,0min0sec
3260,-0.1408,0.2800,3.0912,0min0sec
3270,-0.1404,0.2793,3.0899,0min0sec
3280,-0.1400,0.2785,3.0887,0min0sec
3290,-0.1397,0.2777,3.0874,0min0sec
3300,-0.1393,0.2770,3.0862,0min0sec
3310,-0.1389,0.2762,3.0850,0min0sec
3320,-0.1386,0.2755,3.0838,0min0sec
3330,-0.1382,0.2748,3.0826,0min0sec
3340,-0.1378,0.2740,3.0814,0min0sec
3350,-0.1375,0.2733,3.0802,0min0sec
3360,-0.1371,0.2726,3.0790,0min0sec
3370,-0.1368,0.2718,3.0778,0min0sec
3380,-0.1364,0.2711,3.0766,0min0sec
3390,-0.1360,0.2704,3.0755,0min0sec
3400,-0.1357,0.2697,3.0743,0min0sec
3410,-0.1353,0.2690,3.0731,0min0sec
3420,-0.1350,0.2683,3.0720,0min0sec
3430,-0.1347,0.2676,3.0708,0min0sec
3440,-0.1343,0.2669,3.0697,0min0sec
3450,-0.1340,0.2662,3.0685,0min0sec
3460,-0.1336,0.2655,3.0674,0min0sec
3470,-0.1333,0.2648,3.0663,0min0sec
3480,-0.1330,0.2642,3.0652,0min0sec
3490,-0.1326,0.2635,3.0641,0min0sec
3500,-0.1323,0.2628,3.0630,0min0sec
3510,-0.1319,0.2621,3.0619,0min0sec
3520,-0.1316,0.2615,3.0608,0min0sec
3530,-0.1313,0.2608,3.0597,0min0sec
3540,-0.1310,0.2601,3.0586,0min0sec
3550,-0.1306,0.2595,3.0575,0min0sec
3560,-0.1303,0.2588,3.0565,0min0sec
3570,-0.1300,0.2582,3.0554,0min0sec
3580,-0.1297,0.2575,3.0544,0min0sec
3590,-0.1293,0.2569,3.0533,0min0sec
3600,-0.1290,0.2562,3.0522,0min0sec
3610,-0.1287,0.2556,3.0512,0min0sec
3620,-0.1284,0.2549,3.0502,0min0sec
3630,-0.1281,0.2543,3.0492,0min0sec
3640,-0.1278,0.2537,3.0482,0min0sec
3650,-0.1275,0.2530,3.0472,0min0sec
3660,-0.1272,0.2524,3.0462,0min0sec
3670,-0.1269,0.2518,3.0452,0min0sec
3680,-0.1265,0.2512,3.0442,0min0sec
3690,-0.1262,0.2506,3.0432,0min0sec
3700,-0.1259,0.2500,3.0422,0min0sec
3710,-0.1256,0.2493,3.0412,0min0sec
3720,-0.1253,0.2487,3.0402,0min0sec
3730,-0.1250,0.2481,3.0392,0min0sec
3740,-0.1247,0.2476,3.0382,0min0sec
3750,-0.1244,0.2470,3.0372,0min0sec
3760,-0.1242,0.2464,3.0363,0min0sec
3770,-0.1239,0.2458,3.0353,0min0sec
3780,-0.1236,0.2452,3.0343,0min0sec
3790,-0.1233,0.2446,3.0333,0min0sec
3800,-0.1230,0.2440,3.0324,0min0sec
3810,-0.1227,0.2434,3.0315,0min0sec
3820,-0.1224,0.2429,3.0305,0min0sec
3830,-0.1221,0.2423,3.0296,0min0sec
3840,-0.1219,0.2417,3.0286,0min0sec
3850,-0.1216,0.2411,3.0277,0min0sec
3860,-0.1213,0.2406,3.0268,0min0sec
3870,-0.1210,0.2400,3.0259,0min0sec
3880,-0.1207,0.2395,3.0250,0min0sec
3890,-0.1205,0.2389,3.0241,0min0sec
3900,-0.1202,0.2384,3.0232,0min0sec
3910,-0.1199,0.2378,3.0223,0min0sec
3920,-0.1196,0.2373,3.0214,0min0sec
3930,-0.1194,0.2367,3.0205,0min0sec
3940,-0.1191,0.2362,3.0196,0min0sec
3950,-0.1189,0.2356,3.0187,0min0sec
3960,-0.1186,0.2351,3.0179,0min0sec
3970,-0.1183,0.2346,3.0170,0min0sec
3980,-0.1181,0.2340,3.0161,0min0sec
3990,-0.1178,0.2335,3.0152,0min0sec
4000,-0.1175,0.2330,3.0144,0min0sec
4010,-0.1173,0.2324,3.0135,0min0sec
4020,-0.1170,0.2319,3.0127,0min0sec
4030,-0.1168,0.2314,3.0118,0min0sec
4040,-0.1165,0.2309,3.0110,0min0sec
4050,-0.1163,0.2304,3.0101,0min0sec
4060,-0.1160,0.2298,3.0093,0min0sec
4070,-0.1157,0.2293,3.0084,0min0sec
4080,-0.1155,0.2288,3.0076,0min0sec
4090,-0.1152,0.2283,3.0068,0min0sec
4100,-0.1150,0.2278,3.0060,0min0sec
4110,-0.1148,0.2273,3.0052,0min0sec
4120,-0.1145,0.2268,3.0044,0min0sec
4130,-0.1143,0.2263,3.0036,0min0sec
4140,-0.1140,0.2258,3.0028,0min0sec
